model,variable,coefficient,clustered_std_error,z_statistic,p_value_normal
Difference GMM (predetermined),lag_log_gdp_per_capita,0.9704161915569287,0.03853376549718652,25.183528758116882,6.0696476410026e-140
Difference GMM (predetermined),log_private_capital_per_capita,0.005501982440664577,0.026842708152521783,0.20497121264374674,0.8375946164780881
Difference GMM (predetermined),log_government_capital_per_capita,0.01582181251392134,0.021234370316284123,0.7451039177643038,0.4562089009016029
Difference GMM (predetermined),log_effective_labor_per_capita,0.045345118605533585,0.10432416655444167,0.43465593930117996,0.663812184590006
System GMM (predetermined),lag_log_gdp_per_capita,0.95051338716803,0.03229757710422097,29.42986664605895,2.278892588677977e-190
System GMM (predetermined),log_private_capital_per_capita,0.010974764056300046,0.018782912843183803,0.5842951062983139,0.5590217840506839
System GMM (predetermined),log_government_capital_per_capita,-0.0022479370268229104,0.016385442076735677,-0.13719111247017063,0.8908797357089412
System GMM (predetermined),log_effective_labor_per_capita,0.15347576048225164,0.06638919504728634,2.311758116255771,0.020791016730679
Difference GMM (endogenous),lag_log_gdp_per_capita,0.9830779500573605,0.03752716371626711,26.196436199925767,2.9178516384097614e-151
Difference GMM (endogenous),log_private_capital_per_capita,0.0022260507643316885,0.02593204280655103,0.08584170483357897,0.9315922531530455
Difference GMM (endogenous),log_government_capital_per_capita,0.017315618790727072,0.02049675689548633,0.8447979784811817,0.3982236434851346
Difference GMM (endogenous),log_effective_labor_per_capita,-0.020964721785276197,0.1002294004947775,-0.20916738683245514,0.834317570826871
System GMM (endogenous),lag_log_gdp_per_capita,1.0149574327988375,0.03508975213727822,28.92461106103339,5.85571846657895e-184
System GMM (endogenous),log_private_capital_per_capita,-0.0036793630260945065,0.016158442295901146,-0.22770530467703792,0.8198753482331067
System GMM (endogenous),log_government_capital_per_capita,-0.008993535372610495,0.014873396370982549,-0.6046726079429008,0.545396552107584
System GMM (endogenous),log_effective_labor_per_capita,0.04083400202944176,0.06188779936158509,0.6598069805466081,0.5093777031440876

