model,test,statistic,df,p_value,notes
Difference GMM (predetermined),Hansen J overidentification test,6.814229497176013,8,0.5568023032804509,Two-step cluster-robust moment covariance; interpret with instrument count.
Difference GMM (predetermined),AR(1) residual-correlation screen,-0.48080528476177614,6521,0.0,Normal approximation screen using exact country-year residual pairs.
Difference GMM (predetermined),AR(2) residual-correlation screen,-0.04800068533157967,6391,0.00012436721160513607,No AR(2) is the key differenced-error diagnostic.
Difference GMM (predetermined),Instrument count,71.0,130,,Instrument count should remain below the number of countries.
System GMM (predetermined),Hansen J overidentification test,15.203680505121032,12,0.23048631230974165,Two-step cluster-robust moment covariance; level moments require mean-stationarity assumptions.
System GMM (predetermined),AR(1) residual-correlation screen,-0.4797073789796963,6521,0.0,Normal approximation screen using differenced-equation residuals.
System GMM (predetermined),AR(2) residual-correlation screen,-0.04874396752330376,6391,9.748227075111256e-05,No AR(2) is the key differenced-error diagnostic.
System GMM (predetermined),Instrument count,76.0,130,,Instrument count should remain below the number of countries.
Difference GMM (endogenous),Hansen J overidentification test,8.517803196259774,8,0.3845891448392088,Two-step cluster-robust moment covariance; interpret with instrument count.
Difference GMM (endogenous),AR(1) residual-correlation screen,-0.4810532008854367,6521,0.0,Normal approximation screen using exact country-year residual pairs.
Difference GMM (endogenous),AR(2) residual-correlation screen,-0.0478354159177978,6391,0.0001312284919297436,No AR(2) is the key differenced-error diagnostic.
Difference GMM (endogenous),Instrument count,71.0,130,,Instrument count should remain below the number of countries.
System GMM (endogenous),Hansen J overidentification test,20.518603039434556,12,0.05788999650712672,Two-step cluster-robust moment covariance; level moments require mean-stationarity assumptions.
System GMM (endogenous),AR(1) residual-correlation screen,-0.48079148912062075,6521,0.0,Normal approximation screen using differenced-equation residuals.
System GMM (endogenous),AR(2) residual-correlation screen,-0.04865183332198604,6391,0.00010048862446167043,No AR(2) is the key differenced-error diagnostic.
System GMM (endogenous),Instrument count,76.0,130,,Instrument count should remain below the number of countries.

