model,variable,coefficient,clustered_std_error,t_statistic,p_value_normal
Pooled OLS + year effects,log_private_capital_per_capita,0.46804408295985767,0.04753158342516812,9.847012222867098,7.06118574132965e-23
Pooled OLS + year effects,log_government_capital_per_capita,0.24785450726832847,0.05122797887329149,4.83826441565024,1.3097782123950393e-06
Pooled OLS + year effects,log_effective_labor_per_capita,0.3500380976455231,0.09247119430493722,3.785374464735705,0.00015347729586469598
Random effects + year effects,log_private_capital_per_capita,0.36018199043639226,0.06347356695767434,5.674519452744322,1.390785131685206e-08
Random effects + year effects,log_government_capital_per_capita,0.23215919132583307,0.05905047502604728,3.931538082012502,8.440412265280507e-05
Random effects + year effects,log_effective_labor_per_capita,0.3874363665881647,0.11284322147861323,3.433403987510177,0.0005960532644123829
Fixed effects + year effects,log_private_capital_per_capita,0.340919656872446,0.06795026681942284,5.017193792313378,5.243167372141557e-07
Fixed effects + year effects,log_government_capital_per_capita,0.22434688859236235,0.06163586151952487,3.639875927122301,0.0002727694425676479
Fixed effects + year effects,log_effective_labor_per_capita,0.3734007405822286,0.12233388054556689,3.0523084767440563,0.0022708859606353723

