model,variable,coefficient,clustered_std_error,t_statistic,p_value_normal
Pooled OLS + year effects,log_private_capital_per_capita,0.38623117296819826,0.05451906990269092,7.084331659684731,1.3971693380316138e-12
Pooled OLS + year effects,log_government_capital_per_capita,0.2658849686397054,0.054172102348499084,4.908153036579946,9.193810353008603e-07
Pooled OLS + year effects,log_effective_labor_per_capita,0.19786313440267086,0.09763775237334171,2.026502347637961,0.04271333239578958
Pooled OLS + year effects,log_researchers_per_million,0.10163555113117506,0.025512360699677245,3.9837768181311755,6.782857756013213e-05
Random effects + year effects,log_private_capital_per_capita,0.32267127113958244,0.07037702083610127,4.584895286929536,4.542140122252329e-06
Random effects + year effects,log_government_capital_per_capita,0.2680948790333211,0.06528260326425987,4.106681805382207,4.013835569901756e-05
Random effects + year effects,log_effective_labor_per_capita,0.3589112052025173,0.12315626536299096,2.914274837294407,0.0035651588563991206
Random effects + year effects,log_researchers_per_million,0.061300128226451756,0.02806556207400416,2.1841760398317924,0.028949314846809092
Fixed effects + year effects,log_private_capital_per_capita,0.3104353645305108,0.07468937740240039,4.156352286323034,3.233690782420479e-05
Fixed effects + year effects,log_government_capital_per_capita,0.2639340554578995,0.06728782993096062,3.9224634785919523,8.764818229876633e-05
Fixed effects + year effects,log_effective_labor_per_capita,0.3607957436019936,0.1311906457896534,2.7501636372800635,0.0059565510479786385
Fixed effects + year effects,log_researchers_per_million,0.03535440846926596,0.03808949438853451,0.9281931681379355,0.3533073776533909

